"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80824,+11,3189.0,13.0,65573.0,12062,3610.0,56.2
Italy,17660,0,1266.0,0.0,1439.0,14955,1328.0,292.1
Iran,12729,"+1,365",611.0,97.0,4339.0,7779,0.0,151.5
S. Korea,8086,+107,72.0,5.0,714.0,7300,59.0,157.7
Spain,6023,+791,191.0,58.0,517.0,5315,272.0,128.8
Germany,3953,+278,8.0,0.0,46.0,3899,9.0,47.2
France,3661,0,79.0,0.0,12.0,3570,154.0,56.1
USA,2340,+93,51.0,2.0,49.0,2240,10.0,7.1
Switzerland,1375,+236,13.0,2.0,4.0,1358,0.0,158.9
UK,1140,+342,21.0,10.0,18.0,1101,20.0,16.8
Norway,1035,+39,1.0,0.0,1.0,1033,27.0,190.9
Netherlands,959,+155,12.0,2.0,2.0,945,45.0,56.0
Sweden,948,+134,2.0,1.0,1.0,945,2.0,93.9
Denmark,827,+23,0.0,0.0,1.0,826,2.0,142.8
Japan,788,+54,22.0,1.0,122.0,644,32.0,6.2
Diamond Princess,696,0,7.0,0.0,325.0,364,32.0,0.0
Belgium,689,+130,4.0,1.0,1.0,684,24.0,59.4
Austria,655,+151,1.0,0.0,6.0,648,1.0,72.7
Qatar,337,+17,0.0,0.0,0.0,337,0.0,117.0
Australia,248,+49,3.0,0.0,27.0,218,1.0,9.7
Malaysia,238,+41,0.0,0.0,35.0,203,4.0,7.4
Finland,215,+60,0.0,0.0,1.0,214,0.0,38.8
Bahrain,211,+1,0.0,0.0,60.0,151,1.0,124.0
Canada,200,+2,1.0,0.0,11.0,188,1.0,5.3
Singapore,200,0,0.0,0.0,97.0,103,11.0,34.2
Greece,190,0,3.0,2.0,2.0,185,2.0,18.2
Slovenia,181,+40,0.0,0.0,0.0,181,4.0,87.1
Portugal,169,+57,0.0,0.0,2.0,167,10.0,16.6
Israel,164,+21,0.0,0.0,4.0,160,3.0,18.9
Iceland,156,+22,0.0,0.0,0.0,156,0.0,0.0
Brazil,151,0,0.0,0.0,1.0,150,2.0,0.7
